time: 169830, epoch: 1, step: 1, outputs are [9.761306]
time: 170195, epoch: 1, step: 2, outputs are [9.820539]
time: 170248, epoch: 1, step: 3, outputs are [9.927833]
time: 170295, epoch: 1, step: 4, outputs are [9.727463]
time: 170348, epoch: 1, step: 5, outputs are [9.834819]
time: 170394, epoch: 1, step: 6, outputs are [9.690475]
time: 170438, epoch: 1, step: 7, outputs are [9.818671]
time: 170489, epoch: 1, step: 8, outputs are [9.76937]
time: 170535, epoch: 1, step: 9, outputs are [9.589251]
time: 170586, epoch: 1, step: 10, outputs are [9.774035]
time: 170633, epoch: 1, step: 11, outputs are [9.792201]
time: 170685, epoch: 1, step: 12, outputs are [9.76056]
time: 170731, epoch: 1, step: 13, outputs are [9.63537]
time: 170783, epoch: 1, step: 14, outputs are [9.588]
time: 170830, epoch: 1, step: 15, outputs are [9.898472]
time: 170883, epoch: 1, step: 16, outputs are [9.632705]
time: 170928, epoch: 1, step: 17, outputs are [9.711015]
time: 170981, epoch: 1, step: 18, outputs are [9.463838]
time: 171029, epoch: 1, step: 19, outputs are [9.622669]
time: 171071, epoch: 1, step: 20, outputs are [9.785435]
time: 171113, epoch: 1, step: 21, outputs are [9.544996]
time: 171160, epoch: 1, step: 22, outputs are [9.477843]
time: 171205, epoch: 1, step: 23, outputs are [9.497696]
time: 171253, epoch: 1, step: 24, outputs are [9.463684]
time: 171300, epoch: 1, step: 25, outputs are [9.504552]
time: 171348, epoch: 1, step: 26, outputs are [9.592002]
time: 171396, epoch: 1, step: 27, outputs are [9.5106735]
time: 171440, epoch: 1, step: 28, outputs are [9.392586]
time: 171490, epoch: 1, step: 29, outputs are [9.382139]
time: 171533, epoch: 1, step: 30, outputs are [9.443683]
time: 171582, epoch: 1, step: 31, outputs are [9.4528885]
time: 171628, epoch: 1, step: 32, outputs are [9.398097]
time: 171679, epoch: 1, step: 33, outputs are [9.309735]
time: 171724, epoch: 1, step: 34, outputs are [9.336147]
time: 171770, epoch: 1, step: 35, outputs are [9.274538]
time: 171813, epoch: 1, step: 36, outputs are [9.255609]
time: 171855, epoch: 1, step: 37, outputs are [9.143721]
time: 171901, epoch: 1, step: 38, outputs are [9.1284485]
time: 171945, epoch: 1, step: 39, outputs are [9.137709]
time: 171991, epoch: 1, step: 40, outputs are [9.227308]
time: 172036, epoch: 1, step: 41, outputs are [9.089342]
time: 172086, epoch: 1, step: 42, outputs are [9.118226]
time: 172132, epoch: 1, step: 43, outputs are [8.989927]
time: 172184, epoch: 1, step: 44, outputs are [9.038275]
time: 172229, epoch: 1, step: 45, outputs are [9.019233]
time: 172277, epoch: 1, step: 46, outputs are [9.169786]
time: 172323, epoch: 1, step: 47, outputs are [8.820557]
time: 172368, epoch: 1, step: 48, outputs are [8.792936]
time: 172413, epoch: 1, step: 49, outputs are [8.873775]
time: 172460, epoch: 1, step: 50, outputs are [8.943377]
time: 172507, epoch: 1, step: 51, outputs are [8.871339]
time: 172556, epoch: 1, step: 52, outputs are [8.875454]
time: 172604, epoch: 1, step: 53, outputs are [8.68873]
time: 172652, epoch: 1, step: 54, outputs are [8.645327]
time: 172699, epoch: 1, step: 55, outputs are [8.539149]
time: 172743, epoch: 1, step: 56, outputs are [8.643163]
time: 172790, epoch: 1, step: 57, outputs are [8.581506]
time: 172835, epoch: 1, step: 58, outputs are [8.587798]
time: 172890, epoch: 1, step: 59, outputs are [8.481374]
time: 172936, epoch: 1, step: 60, outputs are [8.374342]
time: 172982, epoch: 1, step: 61, outputs are [8.497657]
