,output_feat,description,type,detail
1,X1,手机号归属地,类别,映射为哈希值
2,X2,籍贯,类别,映射为哈希值
3,X3,与黑名单用户联系次数,整型,大于零的整数
4,X4,近六个月通话次数,整型,大于零的整数
5,X5,近六个月搜索次数,整型,大于零的整数
6,X6,近六个月借款机构统计,整型,大于零的整数
7,X7,安装应用平均值,整型,大于零的整数
8,X8,履约次数统计,整型,大于零的整数
9,X9,借款次数统计,整型,大于零的整数
10,X10,用户行为分值,整型,大于零的整数
11,X11,近两个月机构统计,整型,大于零的整数
12,X12,身份证记录天数,整型,大于零的整数
13,X13,网龄,整型,大于零的整数
14,X14,第三方风险分数,整型,大于零的整数
15,X15,近三个月平台借贷详情,整型,大于零的整数
16,X16,近30天历史搜索数量,整型,大于零的整数
17,X17,近6个月活跃天数,整型,大于零的整数
18,X18,风险中位数水平,整型,大于零的整数
19,X19,最近90天搜索数量,整型,大于零的整数
20,X20,最近7天搜索数量,整型,大于零的整数
21,X21,近6个平均期限,整型,大于零的整数
22,X22,手机记录天数,整型,大于零的整数
23,X23,用户违约次数,整型,大于零的整数
24,X24,低风险联系人计数,整型,大于零的整数
25,X25,最近七天风险机构计数,整型,大于零的整数
26,X26,联系人网络分值,整型,大于零的整数
27,X27,最近14天机构联系计数,整型,大于零的整数
28,X28,最近3个月活跃天数,整型,大于零的整数
29,X29,每月联系人计数最大值,整型,大于零的整数
30,X30,手机账户余额,整型,大于零的整数
31,X31,最近90天机构计数,整型,大于零的整数
32,X32,近一个月联系人计数,整型,大于零的整数
33,X33,近3个月计数,整型,大于零的整数
34,X34,联系人中黑名单人数计数,整型,大于零的整数
35,X35,近一个月联系人分布城市平均值,整型,大于零的整数
36,X36,用户信用等级,整型,大于零的整数
37,X37,用户信用分数,整型,大于零的整数
38,X38,当前话费余额,整型,大于零的整数
39,X39,充值话费记录数,整型,大于零的整数
40,X40,上个月话费总额,整型,大于零的整数
41,X41,过去12个月话费均值,整型,大于零的整数
42,X42,上个月语音套餐总容量,整型,大于零的整数
43,X43,上个月语音套餐用量,整型,大于零的整数
44,X44,上个月流量套餐总容量,整型,大于零的整数
45,X45,上个月流量套餐用量,整型,大于零的整数
46,X46,过去12个月语音套餐容量均值,整型,大于零的整数
47,X47,过去12个月语音套餐容量最大值,整型,大于零的整数
48,X48,过去12个月语音套餐用量均值,整型,大于零的整数
49,X49,过去12个月语音套餐用量最大值,整型,大于零的整数
50,X50,过去12个月流量套餐容量均值,整型,大于零的整数
51,X51,过去12个月流量套餐容量最大值,整型,大于零的整数
52,X52,过去12个月流量套餐用量均值,整型,大于零的整数
53,X53,过去12个月流量套餐用量最大值,整型,大于零的整数
54,X54,上个月总通话次数,整型,大于零的整数
55,X55,上个月总通话时长,整型,大于零的整数
56,X56,上个月平均通话时长,整型,大于零的整数
57,X57,上个月主叫次数,整型,大于零的整数
58,X58,上个月被叫次数,整型,大于零的整数
59,X59,上个月主叫被叫比例,整型,大于零的整数
60,X60,过去12个月通话次数均值,整型,大于零的整数
61,X61,过去12个月通话时间均值,整型,大于零的整数
62,X62,过去12个月主叫次数均值,整型,大于零的整数
63,X63,过去12个月被叫次数均值,整型,大于零的整数
64,X64,过去12个月平均通话时长,整型,大于零的整数
65,X65,过去12个月平均主叫比例,整型,大于零的整数
66,X66,充值次数,整型,大于零的整数
67,X67,上次充值金额,整型,大于零的整数
68,X68,总充值金额,整型,大于零的整数
69,X69,平均充值金额,整型,大于零的整数
70,X70,上个月短信条数,整型,大于零的整数
71,X71,短信总条数,整型,大于零的整数
72,X72,月均短信条数,整型,大于零的整数
