股票代码,企业名称,行业,交易所
600000.SH,浦发银行,银行,上交所
600009.SH,上海机场,机场,上交所
600010.SH,包钢股份,普钢,上交所
600011.SH,华能国际,火力发电,上交所
600015.SH,华夏银行,银行,上交所
600016.SH,民生银行,银行,上交所
600018.SH,上港集团,港口,上交所
600019.SH,宝钢股份,普钢,上交所
600025.SH,华能水电,水力发电,上交所
600028.SH,中国石化,石油加工,上交所
600029.SH,南方航空,空运,上交所
600030.SH,中信证券,证券,上交所
600031.SH,三一重工,工程机械,上交所
600036.SH,招商银行,银行,上交所
600039.SH,四川路桥,建筑工程,上交所
600048.SH,保利发展,全国地产,上交所
600050.SH,中国联通,电信运营,上交所
600061.SH,国投资本,证券,上交所
600085.SH,同仁堂,中成药,上交所
600089.SH,特变电工,电气设备,上交所
600104.SH,上汽集团,汽车整车,上交所
600111.SH,北方稀土,小金属,上交所
600115.SH,中国东航,空运,上交所
600132.SH,重庆啤酒,啤酒,上交所
600150.SH,中国船舶,船舶,上交所
600176.SH,中国巨石,玻璃,上交所
600183.SH,生益科技,元器件,上交所
600188.SH,兖矿能源,煤炭开采,上交所
600196.SH,复星医药,化学制药,上交所
600219.SH,南山铝业,铝,上交所
600233.SH,圆通速递,仓储物流,上交所
600276.SH,恒瑞医药,化学制药,上交所
600309.SH,万华化学,化工原料,上交所
600332.SH,白云山,中成药,上交所
600346.SH,恒力石化,石油加工,上交所
600362.SH,江西铜业,铜,上交所
600383.SH,金地集团,全国地产,上交所
600406.SH,国电南瑞,电气设备,上交所
600426.SH,华鲁恒升,农药化肥,上交所
600436.SH,片仔癀,中成药,上交所
600438.SH,通威股份,电气设备,上交所
600460.SH,士兰微,半导体,上交所
600519.SH,贵州茅台,白酒,上交所
600547.SH,山东黄金,黄金,上交所
600570.SH,恒生电子,软件服务,上交所
600584.SH,长电科技,半导体,上交所
600585.SH,海螺水泥,水泥,上交所
600588.SH,用友网络,软件服务,上交所
600600.SH,青岛啤酒,啤酒,上交所
600606.SH,绿地控股,建筑工程,上交所
600660.SH,福耀玻璃,汽车配件,上交所
600674.SH,川投能源,水力发电,上交所
600690.SH,海尔智家,家用电器,上交所
600741.SH,华域汽车,汽车配件,上交所
600745.SH,闻泰科技,半导体,上交所
600760.SH,中航沈飞,航空,上交所
600763.SH,通策医疗,医疗保健,上交所
600795.SH,国电电力,火力发电,上交所
600803.SH,新奥股份,供气供热,上交所
600809.SH,山西汾酒,白酒,上交所
600837.SH,海通证券,证券,上交所
600845.SH,宝信软件,软件服务,上交所
600884.SH,杉杉股份,电气设备,上交所
600886.SH,国投电力,水力发电,上交所
600887.SH,伊利股份,乳制品,上交所
600893.SH,航发动力,航空,上交所
600900.SH,长江电力,水力发电,上交所
600905.SH,三峡能源,新型电力,上交所
600918.SH,中泰证券,证券,上交所
600919.SH,江苏银行,银行,上交所
600926.SH,杭州银行,银行,上交所
600941.SH,中国移动,电信运营,上交所
600958.SH,东方证券,证券,上交所
600989.SH,宝丰能源,化工原料,上交所
