股票代码,公告日期,报告期,股东名称,持有数量（股）,持有比例
600383.SH,20220430.0,20220331.0,富德生命人寿保险股份有限公司-万能H,979419165.0,21.69
600383.SH,20220430.0,20220331.0,深圳市福田投资控股有限公司,351777629.0,7.79
600383.SH,20220430.0,20220331.0,大家人寿保险股份有限公司-万能产品,245151325.0,5.43
600383.SH,20220430.0,20220331.0,富德生命人寿保险股份有限公司-万能G,197681270.0,4.38
600383.SH,20220430.0,20220331.0,富德生命人寿保险股份有限公司-分红,169889373.0,3.76
600383.SH,20220430.0,20220331.0,中国证券金融股份有限公司,135203988.0,2.99
600383.SH,20220430.0,20220331.0,香港中央结算有限公司(陆股通),133536452.0,2.96
600383.SH,20220430.0,20220331.0,全国社保基金一一八组合,56807425.0,1.26
600383.SH,20220430.0,20220331.0,华润深国投信托有限公司-华润信托·晟利32号集合资金信托计划,45500000.0,1.01
600383.SH,20220430.0,20220331.0,全国社保基金四一三组合,26683310.0,0.59
600406.SH,20220429.0,20220331.0,南瑞集团有限公司,2871919587.0,51.48
600406.SH,20220429.0,20220331.0,香港中央结算有限公司(陆股通),901873438.0,16.17
600406.SH,20220429.0,20220331.0,国网电力科学研究院有限公司,302079327.0,5.41
600406.SH,20220429.0,20220331.0,中国证券金融股份有限公司,164822127.0,2.95
600406.SH,20220429.0,20220331.0,沈国荣,134173614.0,2.41
600406.SH,20220429.0,20220331.0,中央汇金资产管理有限责任公司,53062720.0,0.95
600406.SH,20220429.0,20220331.0,华能国际电力开发公司,46529080.0,0.83
600406.SH,20220429.0,20220331.0,新华人寿保险股份有限公司-分红-团体分红-018L-FH001沪,32351064.0,0.58
600406.SH,20220429.0,20220331.0,国电电力发展股份有限公司,29533173.0,0.53
600406.SH,20220429.0,20220331.0,全国社保基金四一四组合,19015804.0,0.34
600426.SH,20220430.0,20220331.0,山东华鲁恒升集团有限公司,680737833.0,32.23
600426.SH,20220430.0,20220331.0,香港中央结算有限公司(陆股通),83586753.0,3.96
600426.SH,20220430.0,20220331.0,全国社保基金一零六组合,40967961.0,1.94
600426.SH,20220430.0,20220331.0,东方红睿玺三年定期开放灵活配置混合型证券投资基金,26183773.0,1.24
600426.SH,20220430.0,20220331.0,东方红启恒三年持有期混合型证券投资基金,22890450.0,1.08
600426.SH,20220430.0,20220331.0,澳门金融管理局-自有资金,17778032.0,0.84
600426.SH,20220430.0,20220331.0,全国社保基金一一七组合,16500000.0,0.78
600426.SH,20220430.0,20220331.0,全国社保基金一零八组合,12935723.0,0.61
600426.SH,20220430.0,20220331.0,易方达裕丰回报债券型证券投资基金,12602227.0,0.6
600426.SH,20220430.0,20220331.0,上海高毅资产管理合伙企业(有限合伙)-高毅利伟精选唯实基金,10651770.0,0.5
600436.SH,20220423.0,20220331.0,漳州市九龙江集团有限公司,329022643.0,54.54
600436.SH,20220423.0,20220331.0,王富济,27037500.0,4.48
600436.SH,20220423.0,20220331.0,香港中央结算有限公司(陆股通),19342221.0,3.21
600436.SH,20220423.0,20220331.0,中国证券金融股份有限公司,11253490.0,1.87
600436.SH,20220423.0,20220331.0,中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金,7965504.0,1.32
600436.SH,20220423.0,20220331.0,福建漳龙集团有限公司,4800000.0,0.8
600436.SH,20220423.0,20220331.0,福建漳州城投集团有限公司,4800000.0,0.8
600436.SH,20220423.0,20220331.0,漳州市交通发展集团有限公司,4800000.0,0.8
600436.SH,20220423.0,20220331.0,中国建设银行股份有限公司-银华富裕主题混合型证券投资基金,4311725.0,0.71
600436.SH,20220423.0,20220331.0,漳州市国有资产投资经营有限公司,3017812.0,0.5
600438.SH,20220426.0,20220331.0,通威集团有限公司,1974022515.0,43.85
600438.SH,20220426.0,20220331.0,香港中央结算有限公司(陆股通),240098221.0,5.33
600438.SH,20220426.0,20220331.0,中国人寿资管-中国银行-国寿资产-优势甄选2108保险资产管理产品,52099840.0,1.16
600438.SH,20220426.0,20220331.0,中国银行股份有限公司-华泰柏瑞中证光伏产业交易型开放式指数证券投资基金,32690520.0,0.73
600438.SH,20220426.0,20220331.0,杨林,29081700.0,0.65
600438.SH,20220426.0,20220331.0,全国社保基金一一零组合,29038133.0,0.65
600438.SH,20220426.0,20220331.0,中信建投证券股份有限公司-天弘中证光伏产业指数型发起式证券投资基金,26272754.0,0.58
600438.SH,20220426.0,20220331.0,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,26280223.0,0.58
600438.SH,20220426.0,20220331.0,中国人寿资管-兴业银行-国寿资产-优势甄选2110保险资产管理产品,24400000.0,0.54
600438.SH,20220426.0,20220331.0,大成基金-华能信托·嘉月7号单一资金信托-大成基金卓越2号单一资产管理计划,23080314.0,0.51
600460.SH,20220430.0,20220331.0,杭州士兰控股有限公司,513503234.0,36.26
600460.SH,20220430.0,20220331.0,国家集成电路产业投资基金股份有限公司,82350000.0,5.82
600460.SH,20220430.0,20220331.0,香港中央结算有限公司(陆股通),68360395.0,4.83
600460.SH,20220430.0,20220331.0,招商银行股份有限公司-银河创新成长混合型证券投资基金,27533869.0,1.94
600460.SH,20220430.0,20220331.0,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,13221592.0,0.93
600460.SH,20220430.0,20220331.0,全国社保基金一零八组合,13079735.0,0.92
600460.SH,20220430.0,20220331.0,陈向东,12349896.0,0.87
