股票代码,交易日期,开盘价,最高价,最低价,收盘价,成交量
600000.SH,20220104,8.54,8.58,8.52,8.57,377076.47
600000.SH,20220105,8.57,8.68,8.56,8.64,554591.35
600000.SH,20220106,8.66,8.66,8.56,8.57,410310.62
600000.SH,20220107,8.57,8.73,8.57,8.71,630182.97
600000.SH,20220110,8.72,8.78,8.66,8.72,340553.12
600000.SH,20220111,8.74,8.78,8.69,8.73,426461.06
600000.SH,20220112,8.75,8.75,8.63,8.69,412406.7
600000.SH,20220113,8.73,8.85,8.69,8.72,489236.92
600000.SH,20220114,8.72,8.72,8.57,8.59,510606.52
600000.SH,20220117,8.57,8.63,8.57,8.57,221779.75
600000.SH,20220118,8.58,8.66,8.55,8.63,399951.95
600000.SH,20220119,8.63,8.66,8.61,8.64,262576.62
600000.SH,20220120,8.66,8.82,8.64,8.8,828420.44
600000.SH,20220121,8.78,8.8,8.72,8.76,475725.39
600000.SH,20220124,8.79,8.79,8.66,8.69,324897.22
600000.SH,20220125,8.68,8.68,8.56,8.56,433124.12
600000.SH,20220126,8.57,8.59,8.54,8.57,234819.59
600000.SH,20220127,8.55,8.56,8.45,8.45,562810.31
600000.SH,20220128,8.48,8.51,8.41,8.41,439937.66
600000.SH,20220207,8.48,8.55,8.44,8.52,399883.12
600000.SH,20220208,8.53,8.67,8.51,8.65,475725.2
600000.SH,20220209,8.64,8.71,8.62,8.64,362232.35
600000.SH,20220210,8.66,8.71,8.62,8.69,287161.74
600000.SH,20220211,8.7,8.76,8.67,8.74,376828.74
600000.SH,20220214,8.69,8.71,8.58,8.6,347270.78
600000.SH,20220215,8.59,8.63,8.52,8.55,316807.5
600000.SH,20220216,8.58,8.64,8.56,8.59,286095.74
600000.SH,20220217,8.6,8.63,8.56,8.56,245332.21
600000.SH,20220218,8.55,8.67,8.53,8.67,343846.2
600000.SH,20220221,8.64,8.64,8.55,8.6,243342.7
600000.SH,20220222,8.57,8.59,8.53,8.58,324971.74
600000.SH,20220223,8.59,8.59,8.53,8.54,294763.92
600000.SH,20220224,8.54,8.55,8.4,8.44,477035.59
600000.SH,20220225,8.44,8.48,8.41,8.43,322399.1
600000.SH,20220228,8.44,8.45,8.36,8.39,233932.62
600000.SH,20220301,8.39,8.46,8.39,8.44,235403.05
600000.SH,20220302,8.41,8.46,8.4,8.42,167080.51
600000.SH,20220303,8.44,8.5,8.43,8.46,198646.47
600000.SH,20220304,8.44,8.44,8.36,8.4,263957.29
600000.SH,20220307,8.38,8.4,8.28,8.29,371772.43
600000.SH,20220308,8.29,8.3,8.05,8.08,466880.59
600000.SH,20220309,8.11,8.13,7.76,7.9,460357.02
600000.SH,20220310,8.01,8.05,7.92,7.92,251814.89
600000.SH,20220311,7.89,8.02,7.77,8.01,332860.05
600000.SH,20220314,7.95,8.0,7.9,7.91,227708.66
600000.SH,20220315,7.92,7.93,7.61,7.63,489622.95
600000.SH,20220316,7.69,7.8,7.52,7.77,415200.83
600000.SH,20220317,7.85,7.85,7.71,7.74,414955.56
600000.SH,20220318,7.73,7.91,7.71,7.9,531795.3
600000.SH,20220321,7.84,7.84,7.73,7.76,388239.62
600000.SH,20220322,7.77,7.88,7.75,7.83,282244.69
600000.SH,20220323,7.83,7.84,7.77,7.8,255536.86
600000.SH,20220324,7.78,7.83,7.76,7.8,166876.77
600000.SH,20220325,7.8,7.86,7.78,7.8,164744.42
600000.SH,20220328,7.8,7.87,7.71,7.86,287839.84
600000.SH,20220329,7.83,7.86,7.8,7.82,225169.78
600000.SH,20220330,7.84,7.92,7.82,7.92,298543.69
600000.SH,20220331,7.89,8.02,7.86,8.0,259697.72
600000.SH,20220401,7.95,8.07,7.94,8.07,318813.45
600000.SH,20220406,8.0,8.18,8.0,8.17,425461.17
600000.SH,20220407,8.16,8.18,8.06,8.07,317121.43
600000.SH,20220408,8.07,8.12,8.02,8.11,240891.73
600000.SH,20220411,8.11,8.11,7.97,8.01,300156.79
600000.SH,20220412,8.02,8.15,7.98,8.11,313319.39
600000.SH,20220413,8.09,8.14,8.05,8.1,185011.5
600000.SH,20220414,8.11,8.15,8.1,8.11,189731.5
600000.SH,20220415,8.11,8.18,8.09,8.15,218119.56
600000.SH,20220418,8.12,8.14,8.01,8.03,210223.69
600000.SH,20220419,8.04,8.14,8.03,8.14,245644.9
600000.SH,20220420,8.13,8.15,8.08,8.11,191439.35
600000.SH,20220421,8.08,8.16,7.99,8.07,292280.35
600000.SH,20220422,8.01,8.12,8.01,8.09,276120.17
600000.SH,20220425,8.02,8.1,7.81,7.82,533115.5
600000.SH,20220426,7.84,7.99,7.79,7.87,382042.59
600000.SH,20220427,7.91,7.95,7.81,7.83,386886.14
600000.SH,20220428,7.86,7.99,7.86,7.99,451751.69
600000.SH,20220429,7.98,8.06,7.86,8.03,445128.46
600000.SH,20220505,8.03,8.08,7.96,7.99,291331.4
600000.SH,20220506,7.94,7.98,7.82,7.85,317955.78
600000.SH,20220509,7.85,7.86,7.8,7.82,160354.2
600000.SH,20220510,7.8,7.89,7.71,7.85,329910.18
600000.SH,20220511,7.84,7.9,7.81,7.86,251168.15
600000.SH,20220512,7.83,7.91,7.83,7.87,223522.29
600000.SH,20220513,7.91,8.05,7.9,8.05,373433.58
600000.SH,20220516,8.05,8.07,7.93,7.97,209908.26
600000.SH,20220517,8.01,8.04,7.95,8.02,187141.91
600000.SH,20220518,7.98,8.01,7.92,7.95,194639.13
600000.SH,20220519,7.92,7.98,7.89,7.91,199041.91
600000.SH,20220520,7.94,8.05,7.92,8.04,326995.72
600000.SH,20220523,8.06,8.06,7.95,7.95,255275.72
600000.SH,20220524,7.96,7.97,7.87,7.88,260285.14
600000.SH,20220525,7.92,7.93,7.85,7.88,210033.64
600000.SH,20220526,7.89,7.92,7.84,7.9,234015.89
600000.SH,20220527,7.92,8.01,7.88,8.0,317553.38
600000.SH,20220530,8.01,8.02,7.87,7.88,356962.57
600000.SH,20220531,7.9,7.98,7.88,7.94,317508.84
600000.SH,20220601,7.94,7.94,7.89,7.91,184019.41
600000.SH,20220602,7.89,7.91,7.87,7.89,189311.16
600000.SH,20220606,7.87,7.9,7.82,7.86,330105.27
600000.SH,20220607,7.84,7.89,7.83,7.88,306230.76
600000.SH,20220608,7.87,7.88,7.83,7.86,395556.66
600000.SH,20220609,7.86,7.96,7.84,7.95,606069.56
600000.SH,20220610,7.93,8.05,7.89,7.93,1234461.98
600000.SH,20220613,7.91,7.93,7.74,7.77,1045972.35
600000.SH,20220614,7.74,7.89,7.73,7.87,550477.95
600000.SH,20220615,7.86,8.13,7.85,8.03,1127590.58
600000.SH,20220616,8.05,8.08,7.92,7.92,568896.89
600000.SH,20220617,7.91,8.0,7.89,7.97,356124.94
600000.SH,20220620,7.95,7.98,7.91,7.91,300651.54
600000.SH,20220621,7.92,7.98,7.92,7.97,232456.77
600000.SH,20220622,7.96,7.97,7.91,7.92,206355.82
600000.SH,20220623,7.94,7.97,7.91,7.97,232551.44
600000.SH,20220624,7.97,7.98,7.93,7.95,236653.22
600000.SH,20220627,7.95,8.01,7.94,7.97,240677.19
600000.SH,20220628,7.97,8.04,7.96,8.04,257290.78
600000.SH,20220629,8.01,8.06,8.0,8.05,302997.47
600000.SH,20220630,8.05,8.06,8.0,8.01,233696.17
600000.SH,20220701,8.01,8.04,7.98,7.99,178467.87
600000.SH,20220704,7.99,8.0,7.94,7.96,182220.09
600000.SH,20220705,7.96,8.0,7.94,7.98,213222.43
600000.SH,20220706,7.97,7.98,7.87,7.9,288296.58
600000.SH,20220707,7.88,7.92,7.86,7.87,186363.95
600000.SH,20220708,7.9,7.9,7.87,7.88,123791.9
600000.SH,20220711,7.87,7.9,7.86,7.87,161954.72
600000.SH,20220712,7.86,7.94,7.86,7.91,198897.98
600000.SH,20220713,7.93,7.94,7.85,7.85,305065.23
600000.SH,20220714,7.84,7.86,7.75,7.79,405658.78
600000.SH,20220715,7.76,7.8,7.65,7.67,471276.32
600000.SH,20220718,7.68,7.79,7.68,7.79,251642.32
600000.SH,20220719,7.79,7.82,7.77,7.81,288723.04
600000.SH,20220720,7.85,7.85,7.77,7.79,397134.02
600000.SH,20220721,7.4,7.41,7.33,7.33,415415.85
600000.SH,20220722,7.34,7.38,7.34,7.35,196607.96
600000.SH,20220725,7.33,7.38,7.33,7.35,170939.6
600000.SH,20220726,7.36,7.39,7.34,7.38,187305.69
600000.SH,20220727,7.36,7.37,7.33,7.34,170364.17
600000.SH,20220728,7.35,7.37,7.32,7.33,215243.72
600000.SH,20220729,7.35,7.35,7.23,7.26,438733.16
600000.SH,20220801,7.26,7.28,7.21,7.23,244380.11
600000.SH,20220802,7.22,7.22,7.07,7.14,409860.83
600000.SH,20220803,7.13,7.17,7.07,7.07,281448.46
600000.SH,20220804,7.09,7.1,7.06,7.09,212944.63
600000.SH,20220805,7.09,7.18,7.08,7.15,225542.03
600000.SH,20220808,7.17,7.18,7.12,7.12,129812.19
600000.SH,20220809,7.13,7.15,7.1,7.12,130238.2
600000.SH,20220810,7.12,7.13,7.08,7.09,116747.42
600000.SH,20220811,7.12,7.19,7.1,7.18,219108.21
600000.SH,20220812,7.19,7.26,7.17,7.24,222533.54
600000.SH,20220815,7.24,7.29,7.2,7.21,204513.92
600000.SH,20220816,7.21,7.26,7.18,7.19,179101.42
600000.SH,20220817,7.21,7.3,7.18,7.28,209808.4
600000.SH,20220818,7.27,7.27,7.19,7.21,129918.19
600000.SH,20220819,7.18,7.28,7.18,7.2,175445.69
600000.SH,20220822,7.18,7.24,7.16,7.23,137766.16
600000.SH,20220823,7.21,7.22,7.17,7.17,150474.71
600000.SH,20220824,7.17,7.22,7.14,7.15,168557.65
600000.SH,20220825,7.16,7.22,7.15,7.2,157725.56
600000.SH,20220826,7.23,7.26,7.18,7.22,175762.35
600000.SH,20220829,7.16,7.21,7.12,7.15,276003.24
600000.SH,20220830,7.14,7.2,7.13,7.19,225419.28
600000.SH,20220831,7.17,7.28,7.15,7.27,395661.3
600000.SH,20220901,7.23,7.29,7.2,7.23,232983.88
600000.SH,20220902,7.24,7.27,7.2,7.21,199754.99
600000.SH,20220905,7.18,7.27,7.14,7.26,266462.47
600000.SH,20220906,7.25,7.3,7.24,7.26,218666.81
600000.SH,20220907,7.23,7.26,7.22,7.22,165684.7
600000.SH,20220908,7.24,7.27,7.22,7.24,144783.47
600000.SH,20220909,7.27,7.34,7.24,7.31,324230.37
600000.SH,20220913,7.28,7.36,7.27,7.35,237951.4
600000.SH,20220914,7.29,7.34,7.27,7.28,186490.11
600000.SH,20220915,7.29,7.37,7.28,7.32,319403.43
600000.SH,20220916,7.3,7.32,7.14,7.14,339791.38
600000.SH,20220919,7.16,7.2,7.1,7.16,223880.73
600000.SH,20220920,7.16,7.18,7.1,7.11,222470.46
600000.SH,20220921,7.1,7.16,7.08,7.13,200261.61
600000.SH,20220922,7.11,7.14,7.08,7.12,195404.04
600000.SH,20220923,7.12,7.18,7.09,7.16,218062.62
600000.SH,20220926,7.12,7.17,7.05,7.06,295034.76
600000.SH,20220927,7.04,7.09,7.02,7.07,201281.63
600000.SH,20220928,7.05,7.12,7.02,7.08,251975.9
600000.SH,20220929,7.11,7.13,6.95,6.99,370726.47
600000.SH,20220930,7.02,7.07,6.99,7.04,215726.91
600000.SH,20221010,7.04,7.09,7.01,7.03,200282.96
600000.SH,20221011,7.07,7.08,7.0,7.01,186136.47
600000.SH,20221012,7.01,7.05,6.96,7.05,203544.88
600000.SH,20221013,7.03,7.04,6.97,7.0,241072.56
600000.SH,20221014,7.03,7.07,7.01,7.03,273427.63
600000.SH,20221017,7.05,7.05,7.0,7.02,206165.36
600000.SH,20221018,7.04,7.06,7.01,7.02,219086.75
600000.SH,20221019,7.02,7.04,6.97,6.97,179882.15
600000.SH,20221020,6.97,7.0,6.96,6.97,197650.93
600000.SH,20221021,6.99,7.02,6.91,6.92,245678.88
600000.SH,20221024,6.93,6.94,6.8,6.81,386101.05
600000.SH,20221025,6.88,6.88,6.8,6.84,265398.81
600000.SH,20221026,6.83,6.86,6.8,6.82,203773.11
600000.SH,20221027,6.83,6.87,6.81,6.82,212936.52
600000.SH,20221028,6.84,6.87,6.75,6.8,282342.95
600000.SH,20221031,6.73,6.75,6.63,6.64,322373.73
600000.SH,20221101,6.68,6.74,6.65,6.74,270350.74
600000.SH,20221102,6.7,6.74,6.66,6.71,240341.16
600000.SH,20221103,6.71,6.71,6.64,6.66,212519.11
600000.SH,20221104,6.65,6.8,6.64,6.79,326656.77
600000.SH,20221107,6.75,6.83,6.74,6.81,162696.23
600000.SH,20221108,6.83,6.83,6.77,6.79,152828.62
600000.SH,20221109,6.77,6.82,6.77,6.79,131274.94
600000.SH,20221110,6.75,6.8,6.74,6.78,126010.08
600000.SH,20221111,6.83,6.98,6.83,6.94,402370.53
600000.SH,20221114,6.98,7.09,6.96,7.03,437774.2
600000.SH,20221115,7.01,7.09,7.0,7.06,252120.63
600000.SH,20221116,7.03,7.06,7.01,7.03,173981.02
600000.SH,20221117,7.02,7.02,6.95,6.98,220268.25
600000.SH,20221118,6.99,7.0,6.91,6.91,226629.3
600000.SH,20221121,6.9,6.91,6.83,6.88,223749.65
600000.SH,20221122,6.89,7.04,6.89,7.02,334245.3
600000.SH,20221123,7.01,7.12,6.99,7.05,366943.89
600000.SH,20221124,7.06,7.14,7.03,7.03,215345.31
600000.SH,20221125,7.04,7.18,7.04,7.17,430337.99
600000.SH,20221128,7.1,7.1,6.98,7.07,378731.89
600000.SH,20221129,7.1,7.3,7.08,7.27,681712.27
600000.SH,20221130,7.24,7.3,7.22,7.22,323469.81
600000.SH,20221201,7.28,7.34,7.21,7.22,300404.35
600000.SH,20221202,7.25,7.25,7.17,7.23,257220.26
600000.SH,20221205,7.28,7.37,7.24,7.36,473673.57
600000.SH,20221206,7.32,7.39,7.3,7.36,305503.06
600000.SH,20221207,7.35,7.4,7.3,7.34,311765.5
600000.SH,20221208,7.32,7.39,7.31,7.38,255517.76
600000.SH,20221209,7.37,7.39,7.3,7.32,381923.46
600000.SH,20221212,7.31,7.36,7.23,7.26,267085.5
600000.SH,20221213,7.27,7.35,7.25,7.32,182536.26
600000.SH,20221214,7.37,7.37,7.26,7.32,161806.35
600000.SH,20221215,7.28,7.32,7.23,7.24,174717.7
600000.SH,20221216,7.25,7.35,7.23,7.35,317046.29
