Word,Article,Count
a,641,11398
aaron,6,26
abaissiez,1,1
abandon,7,7
abarren,1,1
abas,3,3
abase,1,1
abash,1,1
abat,12,13
abate,5,6
abatteri,1,1
abawd,1,1
abbey,6,6
abbomin,1,1
abbot,4,5
abe,3,3
abear,1,1
abeard,1,2
abeast,3,3
abeggar,2,2
abel,2,2
abergavenni,2,2
abet,1,1
abett,3,3
abhomin,1,1
abhor,23,24
abhormor,1,1
abhorr,11,11
abhorson,2,3
abhorsto,1,1
abhorth,1,1
abhorthi,1,1
abi,1,2
abid,32,32
abide,1,1
abidein,1,1
abidesand,2,2
abidethi,1,1
abil,10,11
abiliti,1,1
abilitiesthat,1,1
abilityi,1,1
abitt,1,1
abject,11,12
abjectlyknow,1,1
abjur,4,4
abjurefor,1,1
abjureth,1,1
abl,42,43
ablack,1,1
abladd,1,1
ablank,1,1
able,1,1
abler,1,1
abless,2,2
ableto,2,2
ableverbatim,1,1
aboard,21,28
abod,9,9
abodedth,1,1
abodemak,1,1
abomin,14,14
abondman,1,1
abort,4,4
abortiv,1,1
abottl,1,1
abound,7,7
aboundin,1,1
abounti,1,1
about,211,299
aboutand,1,1
aboutbi,1,1
aboutdappl,1,1
aboutm,1,1
aboutmerchandis,1,1
aboutmi,1,1
aboutshal,1,1
aboutth,3,3
aboutthrough,1,1
aboutto,4,4
aboutwith,2,2
aboutyour,1,1
abov,65,83
above,8,10
aboved,1,1
aboveh,1,1
abovenev,1,1
abovepunish,1,1
aboveput,1,1
aboveth,1,1
aboveto,1,1
aboy,1,1
abraham,2,2
abram,1,2
abrav,1,1
abrawl,1,1
abrazi,1,1
abreakfast,2,2
abreast,3,3
abreed,1,1
abridg,5,5
abridgedfrom,1,1
abridgedhi,1,1
abroach,1,1
abroachi,1,1
abroad,45,53
abroadthat,3,3
abrog,1,1
abroochin,1,1
abrookth,1,1
abrupt,1,1
absenc,41,44
absenceand,1,1
absenceproce,1,1
absent,21,23
absey,1,1
absolut,27,28
absolutea,2,2
absolutethat,1,1
absolv,4,4
abstain,1,1
abstemi,1,1
abstin,4,4
abstract,4,4
absurd,4,4
absyrtus,1,1
abuff,1,1
abullet,1,1
abund,11,12
abundantscarc,1,1
aburden,1,1
aburi,1,1
aburthen,1,1
abus,62,81
abuse,4,4
abusedbeyond,1,1
abusedbi,2,2
abusedso,1,1
abusedthan,1,1
abusei,1,1
abusemyself,1,1
abuseth,1,1
abut,2,2
abysm,2,2
academ,2,2
acal,1,1
acapon,1,1
acaptain,1,1
acar,2,2
acat,1,1
acaus,1,1
accent,19,19
accept,35,41
access,16,18
accessari,1,1
accessibl,1,1
accessto,2,2
accesswher,1,1
accid,28,32
accident,4,4
accidenti,1,1
accidentsbut,1,1
accit,3,3
acclam,1,1
accommod,4,9
accommodatehi,1,1
accommodo,1,1
accompani,12,13
accompaniedwith,1,1
accompanyyour,1,1
accomplic,1,1
accomplish,13,13
accomplishedcourti,1,1
accomplishedwith,1,1
accompt,4,4
accord,41,44
accordeth,1,1
accordin,1,1
accordinglyyou,1,1
accordto,1,1
